"","gmt","iata_code","city_iata_code","icao_code","country_iso2","geoname_id","latitude","longitude","airport_name","country_name","phone_number","timezone"
"1","8","ABU","ABU","WATA","ID","7730801","-9.133333","124.88333","Atambua","Indonesia",NA,"Asia/Makassar"
"2","7","AEG","AEG","WIME","ID","8298724","1.399722","99.416664","Aek Godang","Indonesia",NA,"Asia/Jakarta"
"3","9","AHI","AHI","WAPA","ID","6301199","-3.333333","128.91667","Amahai","Indonesia",NA,"Asia/Jayapura"
"4","9","AMQ","AMQ","WAPP","ID","6301203","-3.704996","128.08888","Pattimura","Indonesia",NA,"Asia/Jayapura"
"5","8","ARD","ARD","WATM","ID","7730830","-8.683333","124.53333","Alor Island","Indonesia",NA,"Asia/Makassar"
"6","9","ARJ","ARJ","WAJA","ID","7730831","-2.933333","140.78334","Arso","Indonesia",NA,"Asia/Jayapura"
"7","8","AUT","AUT","WPAT","ID","7730835","-8.216667","125.583336","Atauro","Indonesia",NA,"Asia/Makassar"
"8","8","BDJ","BDJ","WRBB","ID","6301262","-3.43804","114.75425","Sjamsudin Noor","Indonesia",NA,"Asia/Makassar"
"9","7","BDO","BDO","WIIB","ID","6301223","-6.904648","107.58178","Husein Sastranegara","Indonesia",NA,"Asia/Jakarta"
"10","8","BEJ","BEJ","WALK","ID","7668667","2.166667","117.7","Kalimaru","Indonesia",NA,"Asia/Makassar"
"11","9","BIK","BIK","WABB","ID","6301180","-1.191919","136.10582","Frans Kaisepo","Indonesia",NA,"Asia/Jayapura"
"12","9","BJK","BJK","WAPK","ID","7730865","-6.083333","134.25","Benjina","Indonesia",NA,"Asia/Jayapura"
"13","8","BJW","BJW","WATB","ID","8299216","-8.766667","120.98333","Bajawa","Indonesia",NA,"Asia/Makassar"
"14","7","BKS","BKS","WIPL","ID","6301246","-3.866159","102.34349","Padangkemiling","Indonesia",NA,"Asia/Jakarta"
"15","8","BMU","BMU","WRRB","ID","6301280","-8.5","118.916664","Bima","Indonesia",NA,"Asia/Makassar"
"16","7","BTH","BTH","WIKB","ID","6301230","1.123627","104.11528","Hang Nadim","Indonesia",NA,"Asia/Jakarta"
"17","7","BTJ","BTJ","WITT","ID","6301251","5.518021","95.41833","Sultan Iskandarmuda Airport","Indonesia",NA,"Asia/Jakarta"
"18","8","BTW","BTW","WAOC","ID","7730882","-3","116","Batu Licin","Indonesia",NA,"Asia/Makassar"
