"","flight_date","flight_status","departure.airport","departure.timezone","departure.iata","departure.icao","departure.terminal","departure.gate","departure.delay","departure.scheduled","departure.estimated","departure.actual","departure.estimated_runway","departure.actual_runway","arrival.airport","arrival.timezone","arrival.iata","arrival.icao","arrival.terminal","arrival.gate","arrival.baggage","arrival.delay","arrival.scheduled","arrival.estimated","arrival.actual","arrival.estimated_runway","arrival.actual_runway","airline.name","airline.iata","airline.icao","flight.number","flight.iata","flight.icao","flight.codeshared","aircraft","live","flight.codeshared.airline_name","flight.codeshared.airline_iata","flight.codeshared.airline_icao","flight.codeshared.flight_number","flight.codeshared.flight_iata","flight.codeshared.flight_icao","aircraft.registration","aircraft.iata","aircraft.icao","aircraft.icao24"
"1","2019-12-01","landed","Eltari","Asia/Dili","KOE","WATT",NA,NA,NA,"2019-12-01T08:30:00+00:00","2019-12-01T08:30:00+00:00",NA,"2019-12-01T08:23:00+00:00","2019-12-01T08:23:00+00:00","Atambua","Asia/Makassar","ABU","WATA",NA,NA,NA,NA,"2019-12-01T09:15:00+00:00","2019-12-01T09:15:00+00:00",NA,"2019-12-01T08:58:00+00:00","2019-12-01T08:58:00+00:00","Wings Air (Indonesia)","IW","WON","1933","IW1933","WON1933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-01","landed","Eltari","Asia/Dili","KOE","WATT",NA,NA,NA,"2019-12-01T09:00:00+00:00","2019-12-01T09:00:00+00:00",NA,"2019-12-01T11:46:00+00:00","2019-12-01T11:46:00+00:00","Atambua","Asia/Makassar","ABU","WATA",NA,NA,NA,NA,"2019-12-01T09:45:00+00:00","2019-12-01T09:45:00+00:00",NA,"2019-12-01T12:18:00+00:00","2019-12-01T12:18:00+00:00","TransNusa","8B","TNU","527","8B527","TNU527",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-02","landed","Eltari","Asia/Dili","KOE","WATT",NA,NA,NA,"2019-12-02T09:00:00+00:00","2019-12-02T09:00:00+00:00",NA,"2019-12-02T12:09:00+00:00","2019-12-02T12:09:00+00:00","Atambua","Asia/Makassar","ABU","WATA",NA,NA,NA,NA,"2019-12-02T09:45:00+00:00","2019-12-02T09:45:00+00:00",NA,"2019-12-02T12:43:00+00:00","2019-12-02T12:43:00+00:00","TransNusa","8B","TNU","527","8B527","TNU527",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-02","landed","Eltari","Asia/Dili","KOE","WATT",NA,NA,NA,"2019-12-02T11:20:00+00:00","2019-12-02T11:20:00+00:00",NA,"2019-12-02T11:21:00+00:00","2019-12-02T11:21:00+00:00","Atambua","Asia/Makassar","ABU","WATA",NA,NA,NA,NA,"2019-12-02T12:05:00+00:00","2019-12-02T12:05:00+00:00",NA,"2019-12-02T12:05:00+00:00","2019-12-02T12:05:00+00:00","Wings Air (Indonesia)","IW","WON","1945","IW1945","WON1945",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-07","landed","Eltari","Asia/Dili","KOE","WATT",NA,NA,NA,"2019-12-07T13:20:00+00:00","2019-12-07T13:20:00+00:00","2019-12-07T12:59:00+00:00","2019-12-07T12:59:00+00:00","2019-12-07T12:59:00+00:00","Atambua","Asia/Makassar","ABU","WATA",NA,NA,NA,NA,"2019-12-07T14:05:00+00:00","2019-12-07T14:05:00+00:00","2019-12-07T13:39:00+00:00","2019-12-07T13:39:00+00:00","2019-12-07T13:39:00+00:00","Wings Air (Indonesia)","IW","WON","1955","IW1955","WON1955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-01","landed","Soekarno-Hatta International","Asia/Jakarta","CGK","WIII","2","E5",NA,"2019-12-01T00:10:00+00:00","2019-12-01T00:10:00+00:00",NA,"2019-12-01T00:30:00+00:00","2019-12-01T00:30:00+00:00","Pattimura","Asia/Jayapura","AMQ","WAPP",NA,NA,NA,NA,"2019-12-01T05:40:00+00:00","2019-12-01T05:40:00+00:00",NA,"2019-12-01T05:31:00+00:00","2019-12-01T05:31:00+00:00","Batik Air","ID","BTK","6170","ID6170","BTK6170",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PKLUR","A320","A320","8A0636"
"7","2019-12-01","landed","Juanda","Asia/Jakarta","SUB","WARR",NA,NA,NA,"2019-12-01T07:35:00+00:00","2019-12-01T07:35:00+00:00",NA,"2019-12-01T07:57:00+00:00","2019-12-01T07:57:00+00:00","Pattimura","Asia/Jayapura","AMQ","WAPP",NA,NA,NA,NA,"2019-12-01T12:05:00+00:00","2019-12-01T12:05:00+00:00",NA,"2019-12-01T12:11:00+00:00","2019-12-01T12:11:00+00:00","Lion Air","JT","LNI","890","JT890","LNI890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-01","landed","Halim Perdana Kusuma","Asia/Jakarta","HLP","WIHH",NA,"08",NA,"2019-12-01T06:05:00+00:00","2019-12-01T06:05:00+00:00",NA,"2019-12-01T06:04:00+00:00","2019-12-01T06:04:00+00:00","Pattimura","Asia/Jayapura","AMQ","WAPP",NA,NA,NA,NA,"2019-12-01T11:35:00+00:00","2019-12-01T11:35:00+00:00",NA,"2019-12-01T11:06:00+00:00","2019-12-01T11:06:00+00:00","Batik Air","ID","BTK","7773","ID7773","BTK7773",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PKLUO","A320","A320","8A0633"
"9","2019-12-01","landed","Langgur","Asia/Jayapura","LUV","WAPL",NA,NA,NA,"2019-12-01T05:50:00+00:00","2019-12-01T05:50:00+00:00",NA,"2019-12-01T05:57:00+00:00","2019-12-01T05:57:00+00:00","Pattimura","Asia/Jayapura","AMQ","WAPP",NA,NA,NA,NA,"2019-12-01T07:15:00+00:00","2019-12-01T07:15:00+00:00",NA,"2019-12-01T07:26:00+00:00","2019-12-01T07:26:00+00:00","Wings Air (Indonesia)","IW","WON","1507","IW1507","WON1507",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PKWGT","AT76","AT76","8A04F8"
"10","2019-12-01","landed","Soekarno-Hatta International","Asia/Jakarta","CGK","WIII","3","U26",NA,"2019-12-01T08:15:00+00:00","2019-12-01T08:15:00+00:00","2019-12-01T08:14:00+00:00","2019-12-01T08:37:00+00:00","2019-12-01T08:37:00+00:00","Pattimura","Asia/Jayapura","AMQ","WAPP",NA,NA,NA,11,"2019-12-01T13:55:00+00:00","2019-12-01T13:55:00+00:00","2019-12-01T14:06:00+00:00","2019-12-01T14:01:00+00:00","2019-12-01T14:01:00+00:00","KLM","KL","KLM","4025","KL4025","KLM4025",NA,NA,NA,"Garuda Indonesia","GA","GIA","646","GA646","GIA646",NA,NA,NA,NA
