"","iata","X","gmt","city_iata_code","icao_code","country_iso2","geoname_id","latitude","longitude","airport_name","country_name","phone_number","timezone"
"1","AMQ",4,9,"AMQ","WAPP","ID",6301203,-3.704996,128.08888,"Pattimura","Indonesia",NA,"Asia/Jayapura"
"2","BDJ",8,8,"BDJ","WRBB","ID",6301262,-3.43804,114.75425,"Sjamsudin Noor","Indonesia",NA,"Asia/Makassar"
"3","BDO",9,7,"BDO","WIIB","ID",6301223,-6.904648,107.58178,"Husein Sastranegara","Indonesia",NA,"Asia/Jakarta"
"4","BIK",11,9,"BIK","WABB","ID",6301180,-1.191919,136.10582,"Frans Kaisepo","Indonesia",NA,"Asia/Jayapura"
"5","BJW",13,8,"BJW","WATB","ID",8299216,-8.766667,120.98333,"Bajawa","Indonesia",NA,"Asia/Makassar"
"6","BKS",14,7,"BKS","WIPL","ID",6301246,-3.866159,102.34349,"Padangkemiling","Indonesia",NA,"Asia/Jakarta"
"7","BMU",15,8,"BMU","WRRB","ID",6301280,-8.5,118.916664,"Bima","Indonesia",NA,"Asia/Makassar"
"8","BTH",16,7,"BTH","WIKB","ID",6301230,1.123627,104.11528,"Hang Nadim","Indonesia",NA,"Asia/Jakarta"
"9","BTJ",17,7,"BTJ","WITT","ID",6301251,5.518021,95.41833,"Sultan Iskandarmuda Airport","Indonesia",NA,"Asia/Jakarta"
"10","BTW",18,8,"BTW","WAOC","ID",7730882,-3,116,"Batu Licin","Indonesia",NA,"Asia/Makassar"
"11","BUW",20,8,"BUW","WAWB","ID",6301178,-5.466667,122.63333,"Baubau","Indonesia",NA,"Asia/Makassar"
"12","CGK",26,7,"JKT","WIII","ID",6301878,-6.130643,106.655525,"Soekarno-Hatta International","Indonesia",NA,"Asia/Jakarta"
"13","DJB",28,7,"DJB","WIPA","ID",6301244,-1.630432,103.63936,"Sultan Taha Syarifudn","Indonesia",NA,"Asia/Jakarta"
"14","DJJ",29,9,"DJJ","WAJJ","ID",6301186,-2.569887,140.51299,"Sentani","Indonesia",NA,"Asia/Jayapura"
"15","DOB",30,9,"DOB","WAPD","ID",7730983,-5.75,134,"Dobo Airport","Indonesia",NA,"Asia/Jayapura"
